time;averagePm10
"2018-09-15 22:00:00";15.294718554552
"2018-09-16 22:00:00";15.220986796386
"2018-09-17 22:00:00";19.898054204309
"2018-09-18 22:00:00";21.752638888889
"2018-09-19 22:00:00";28.277222222222
"2018-09-20 22:00:00";29.412083333333
"2018-09-21 22:00:00";9.7897222222222
"2018-09-22 22:00:00";5.8990271021543
"2018-09-23 22:00:00";2.1075052119527
"2018-09-24 22:00:00";7.0826268241835
"2018-09-25 22:00:00";18.281736111111
"2018-09-26 22:00:00";9.9621433542102
"2018-09-27 22:00:00";17.143055555556
"2018-09-28 22:00:00";9.8030576789437
"2018-09-29 22:00:00";32.104169562196
"2018-09-30 22:00:00";35.695486111111
"2018-10-01 22:00:00";19.220902777778
"2018-10-02 22:00:00";5.619375
"2018-10-03 22:00:00";11.619805420431
"2018-10-04 22:00:00";34.911605281445
"2018-10-05 22:00:00";29.119805420431
"2018-10-06 22:00:00";31.527380125087
"2018-10-07 22:00:00";9.3174491392801
"2018-10-09 22:00:00";37.032555425904
"2018-10-10 22:00:00";49.784513888889
"2018-10-11 22:00:00";41.07936066713
"2018-10-12 22:00:00";58.916678248784
"2018-10-13 22:00:00";54.653055555556
"2018-10-14 22:00:00";37.427430555555
"2018-10-15 22:00:00";49.288325225851
"2018-10-16 22:00:00";58.84510076442
"2018-10-17 22:00:00";83.032800555942
"2018-10-18 22:00:00";103.39868055556
"2018-10-19 22:00:00";45.508030431107
"2018-10-20 22:00:00";22.421820708826
"2018-10-21 22:00:00";56.859236111111
"2018-10-22 22:00:00";16.546736111111
"2018-10-23 22:00:00";2.8832522585129
"2018-10-24 22:00:00";9.7721334259903
"2018-10-25 22:00:00";14.640486111111
"2018-10-26 22:00:00";47.099861014593
"2018-10-27 22:00:00";16.138933333333
"2018-10-28 23:00:00";24.361848505907
"2018-10-29 23:00:00";6.4163307852675
"2018-10-30 23:00:00";14.261848505907
"2018-10-31 23:00:00";27.605486111111
"2018-11-01 23:00:00";19.09617790132
"2018-11-02 23:00:00";37.261084086171
"2018-11-03 23:00:00";20.346838082001
"2018-11-04 23:00:00";37.350243224461
"2018-11-05 23:00:00";42.757887421821
"2018-11-06 23:00:00";62.36851980542
"2018-11-07 23:00:00";71.554652777778
"2018-11-08 23:00:00";96.175972222222
"2018-11-09 23:00:00";102.13627519111
"2018-11-10 23:00:00";85.050382209868
"2018-11-11 23:00:00";88.304030576789
"2018-11-12 23:00:00";71.866921473245
"2018-11-13 23:00:00";17.97625
"2018-11-14 23:00:00";20.423419041001
"2018-11-15 23:00:00";16.260208333333
"2018-11-16 23:00:00";29.812361111111
"2018-11-17 23:00:00";50.841736111111
"2018-11-18 23:00:00";33.218554551772
"2018-11-19 23:00:00";39.014791666667
"2018-11-20 23:00:00";28.828492008339
"2018-11-21 23:00:00";37.428839471855
"2018-11-22 23:00:00";55.096664350243
"2018-11-23 23:00:00";56.343710910354
"2018-11-24 23:00:00";56.167338429465
"2018-11-25 23:00:00";24.004236111111
"2018-11-26 23:00:00";19.397638888889
"2018-11-27 23:00:00";34.736041666667
"2018-11-28 23:00:00";33.173801250869
"2018-11-29 23:00:00";28.49659485754
"2018-11-30 23:00:00";69.908964558721
"2018-12-01 23:00:00";75.102015288395
"2018-12-02 23:00:00";40.899583333333
"2018-12-03 23:00:00";34.498680555556
"2018-12-04 23:00:00";35.65
"2018-12-05 23:00:00";66.702152777778
"2018-12-06 23:00:00";46.028005559416
"2018-12-07 23:00:00";24.428402777778
"2018-12-08 23:00:00";5.8608333333333
"2018-12-09 23:00:00";11.546073662265
